"Period","Red.y","Blue.y","RedActivists.y","RedVoters.y","BlueVoters.y","BlueActivists.y"
0,-0.179961952,0.156947462,-2.841510193,-0.619826029,-0.333352842,-0.100712261
1,-0.062023496,-0.376123042,1.839477439,-0.478385482,-0.371837069,-2.547597118
2,-0.216603094,-0.854373312,4.785279715,-0.5923968,-0.304385946,-4.076567936
3,-0.364742366,-0.515840085,0.575239776,-0.433650759,-0.240513586,0.283148851
4,-0.080943472,-0.253442708,-1.294332267,-0.896073708,0.049346549,-1.805576504
5,0.318627149,0.337422195,1.741545197,-1.004534659,-0.167142446,1.039731424
6,-0.813596805,0.349304858,-3.337421405,-0.696488929,-0.582535703,2.671534529
7,-1.249101385,0.621938229,-4.262619362,-0.915295037,-0.080626162,3.673850286
8,-0.929473205,0.315489373,-1.545519257,-0.789445015,-0.046487097,2.136371606
9,-0.840117992,0.87940934,-4.270731576,-1.040391711,0.068060323,5.440173564
10,-0.426801709,0.309953387,-2.273235379,-0.659356253,-0.283742183,0.741046152
11,0.047516305,0.306731862,-0.622601462,-0.964419969,-0.217446785,-0.138334935
12,-0.373808558,0.402223528,-0.982490982,-0.837454573,-0.083899432,3.886703404
13,0.047268147,0.619202996,-2.912106136,-0.900727195,-0.381467539,1.697328128
14,0.383197097,0.924878787,-2.150680271,-0.689881052,-0.337029387,1.712854361
15,0.224846532,0.888793535,0.397611544,-0.922776326,-0.251942008,1.063587604
16,0.115193326,0.49437562,-1.011152864,-0.367054646,-0.822115821,1.783818046
17,0.094378619,0.493652206,-1.12980635,-0.664692605,-0.647652186,0.971892117
18,0.177193421,-0.025219306,1.50732099,-0.127431121,-0.663505286,-2.616650142
19,-0.359826708,-0.382379434,-0.898659695,-0.281990278,-0.53796489,-1.402027365
20,0.068265692,-0.805157271,1.116304642,-0.482014705,-0.373549536,-3.919527931
21,0.176346657,-0.79287202,2.718804922,-0.835487379,-0.501453346,-5.55126337
22,-0.023370692,-0.624023439,0.16006575,-0.449879526,-0.512695656,-0.986219949
23,-0.249159063,-0.419547011,-0.27935143,-0.307490555,-0.103073399,-0.381592824
24,-0.258580819,-0.361725555,-1.218487819,-0.570293109,-0.35144947,-1.720608548
