"Period","Red.y","Blue.y","RedActivists.y","RedVoters.y","BlueVoters.y","BlueActivists.y"
0,-0.265329506,0.376347244,-9.74914164,-0.007419271,-0.316037341,7.803329803
1,-0.390298357,0.07032073,-9.912070714,-0.413754996,-0.047033153,7.74466821
2,-0.401680084,-0.079967885,-5.679463682,-0.239360952,-0.308900505,4.927503148
3,-0.483934382,0.172861302,-9.04360947,-0.454660169,0.090348281,7.288107783
4,-0.833429109,0.342730977,-11.5139964,0.140254922,0.216951583,9.792271246
5,-0.938824172,0.510477479,-10.16834238,-0.665391149,0.386215658,9.129218212
6,-1.474485846,0.482940896,-8.109015263,-0.622424467,0.122694443,6.381707682
7,-1.682009564,-0.067868048,-7.237800522,-0.920760084,0.520055566,7.583722016
8,-1.644216124,0.361607417,-8.093441936,-0.547301879,0.405673903,7.822119243
9,-1.293942773,-0.043057957,-6.412506131,-0.277526304,0.012195444,4.612727808
10,-1.968712392,-0.098151225,-9.699122836,-0.303637554,0.301140595,7.438083944
11,-1.939918285,0.006694431,-9.651069812,-0.94713118,0.448488172,9.011882028
12,-1.522160682,-0.201328806,-7.766037037,-0.242498302,-0.040626194,6.601979347
13,-1.225414106,0.06145185,-9.560342492,-0.448867875,0.091200384,7.074068408
14,-1.52179642,0.046522454,-8.754483929,-0.596169615,0.533708283,8.718529047
15,-1.320994233,0.202901435,-7.515639477,-1.178022333,0.386158006,6.533270022
16,-1.629443569,0.174881348,-9.826584942,-0.308236062,0.433040942,8.24435116
17,-0.820955105,-0.001354144,-6.58834457,-0.62248419,0.212990514,6.941177865
18,-1.011623834,-0.077162963,-6.372284811,-0.779733942,0.440952572,7.545144227
19,-0.864019723,0.08500385,-9.994267195,-0.213863427,-0.153452074,8.014892837
20,-0.876615156,0.319918765,-6.371204065,-0.534035884,0.520030104,6.629264376
21,-0.75869786,0.416392883,-7.232494583,-0.519868725,0.501816404,7.360235875
22,-1.407104696,0.649578961,-9.073646673,-0.743264007,0.600963579,7.14280882
23,-1.263302443,0.962927991,-8.77931518,-1.222167649,0.590860894,9.156712281
24,-1.348116373,0.9690503,-10.40510396,-1.11186168,1.06226292,9.506573348
25,-2.141515061,1.038979078,-10.50610472,-1.811036204,1.484925472,9.629392188
26,-2.086523202,0.922172603,-11.0258159,-1.217176327,1.258629098,9.756810419
27,-1.805076164,1.731265833,-11.06694398,-1.214373946,1.573468263,9.773044206
28,-1.887578933,2.180986237,-10.06374238,-2.044387797,1.478346758,10.09365307
29,-2.434866964,2.451066118,-11.01398132,-1.969093809,1.673682733,9.758856192
30,-2.735848984,2.568320538,-10.20844751,-2.2092471,1.924771857,9.235498709
31,-2.878869359,2.366416293,-11.35540362,-2.398019692,1.818530686,9.941839833
32,-2.848509106,2.426967434,-11.16260762,-2.355346782,2.470473821,9.461362335
33,-3.053032306,2.876428226,-10.34368208,-2.653939506,1.896009107,9.765528821
34,-2.91628577,2.989797357,-10.90196928,-2.266196531,2.195865637,9.787573894
35,-3.312923204,2.639976331,-10.56209116,-1.787111492,1.751232611,9.817533537
36,-3.452494574,3.232310155,-11.2296517,-2.110435964,2.358310091,9.812772795
37,-3.682853455,3.162014664,-10.25350177,-2.357260389,2.354889458,9.318879278
38,-3.428084185,2.942761014,-10.84898026,-2.304953412,1.909927414,9.615996368
39,-3.428467536,4.026813229,-10.14877456,-2.866289553,1.977700488,10.68064466
40,-4.284157281,4.142890857,-10.32106802,-2.947512222,2.682895821,9.613714387
41,-4.260949424,3.844800439,-11.02834204,-2.506874028,2.187276696,9.639674072
42,-4.004950859,4.462987073,-10.36392867,-2.7540173,2.415464335,9.286972998
43,-4.036651509,4.958760525,-9.776669028,-2.43333866,2.286677581,9.101885989
44,-4.224133248,4.811382257,-9.946153662,-2.854773832,2.652825613,8.77139863
45,-4.376128079,4.384862421,-9.556434616,-2.76738546,2.47784584,9.290523946
46,-4.82494021,4.699261215,-9.4102608,-3.080140216,2.809681959,8.698928007
47,-4.749510331,4.60589745,-9.407241487,-2.862183479,2.780446277,8.889234723
48,-4.52747817,4.883309544,-9.345847117,-2.99827673,2.663394947,8.825467218
49,-4.663313687,4.940568924,-9.236472618,-2.702649253,2.631266663,9.173255771
50,-4.443224612,4.837664224,-9.642081985,-3.041834727,2.699179639,9.317039093
51,-4.20082911,4.77483663,-9.554121065,-2.740024651,2.385753866,9.041733359
52,-4.513260773,4.516286549,-9.801623197,-2.371967403,2.272437635,9.017326011
53,-3.553575916,5.407771708,-8.96682555,-2.389042296,2.156047662,9.124365884
54,-4.227479048,4.993584168,-9.51502031,-2.563789972,2.169179136,8.924174035
55,-4.210143493,5.486359413,-9.163188092,-2.774982131,2.411355976,8.864375136
56,-4.224423963,5.684302603,-9.257323986,-2.635170198,2.311978081,8.971249745
57,-4.471552007,6.49691339,-9.074413563,-2.78325248,2.544498324,8.793098266
58,-4.571563552,6.086233205,-9.178981308,-2.704309022,2.441904134,8.917779066
59,-4.647940638,5.920468613,-9.244104515,-3.00661197,2.733244328,9.27271635
60,-5.027402492,6.380559352,-9.331417145,-3.263849867,2.955380743,8.793742969
61,-5.787869197,6.524295229,-9.575377308,-2.949509835,2.74540566,8.99591554
62,-5.416722884,6.520040342,-9.231102913,-2.803536769,2.706685334,9.094061378
63,-5.70761679,6.951049366,-9.706862821,-2.987750735,3.039542506,9.045035766
64,-6.045001075,6.814449423,-9.238280157,-3.121639857,3.450753703,8.848595279
65,-6.368663763,7.076940594,-9.526585321,-3.320579811,3.074801595,8.693947821
66,-6.553132073,7.003814101,-9.465527641,-3.466584957,2.851290537,8.379737217
67,-6.627692442,7.706871409,-9.177976491,-3.181568412,2.877472229,9.067567263
68,-6.399044093,7.755608036,-9.072401312,-3.512477497,3.398065194,8.631527273
69,-6.914358439,7.848961429,-9.105243935,-3.11718111,2.896002259,8.910348303
70,-7.115021731,7.746475685,-9.370464077,-2.896225727,2.887380117,8.613268792
71,-6.659253005,7.733376859,-9.02814467,-3.230184181,3.107230227,8.803268199
72,-6.847101287,7.594233991,-9.253291715,-3.124588694,3.08144981,8.705565961
73,-6.793732136,7.854492769,-9.06228005,-3.227903267,2.665559304,8.982044461
74,-7.400513065,7.701989013,-9.490872951,-3.386943972,3.417806385,8.493926578
75,-7.495567589,7.983568359,-8.916869016,-3.351947885,3.369333527,8.665067249
76,-7.417014914,7.656602412,-9.30825416,-3.383190417,3.005808116,8.939790265
77,-7.153788948,7.691993098,-9.425030358,-3.477806742,2.972200324,8.487879769
