"who","color","heading","xcor","ycor","my.cands.district","pref.d1","pref.d2","pref.d3"
"0","15","345","-0.894761469","0.674924903","turtles 42360 43401","-0.8947614693294164","0.6749249029834302","7.3081615023228625"
"1","15","185","-0.891682299","-0.38579226","turtles 43172 43418","-0.8916822985381055","-0.3857922603871004","-1.0555957044498694"
"2","105","341","5.699872985","-6.42876451","turtles 43043 43359","5.6998729849105105","-6.428764509987445","1.3201429404645546"
"3","105","79","-3.771064125","3.888812799","turtles 42595 43272","-3.7710641247093415","3.888812798723954","1.7449694279532346"
"4","15","224","-0.466537995","-11.53342337","turtles 39322 43371","-0.466537994757735","-11.533423374506341","-2.3573145239957296"
"5","15","96","11.65584357","0.171403289","turtles 42739 43379","11.655843571424727","0.1714032885212717","5.429184202449618"
"6","105","113","-1.532201068","-0.688369677","turtles 42948 43286","-1.5322010681577358","-0.6883696767014584","-0.07570646947854008"
"7","15","18","-7.610925026","-6.974176994","turtles 42287 43368","-7.610925025535783","-6.974176994016373","0.9281251661781065"
"8","105","121","-3.557015394","4.683004754","turtles 42680 43358","-3.5570153938646945","4.683004754144056","0.9513451424925249"
"9","105","79","0.771392513","-1.768409489","turtles 42000 43276","0.7713925129159989","-1.7684094887251751","3.3277008217700774"
"10","105","300","5.661386152","5.970219894","turtles 43079 43352","5.661386152260255","5.970219894447828","-0.07251212389855283"
"11","15","226","-6.728250571","-6.206900419","turtles 43238 43490","-6.728250571388923","-6.206900418735178","1.849014401468465"
"12","105","88","-5.783083228","-4.250190173","turtles 42558 43333","-5.783083227913135","-4.250190172676326","5.180132243523043"
"13","105","98","6.379257019","7.618339831","turtles 43131 43360","6.379257018791134","7.61833983065146","-2.8606167444486235"
"14","15","153","-9.69166943","-0.165445868","turtles 42888 43457","-9.691669429745762","-0.1654458679766284","-0.9240694674971297"
"15","105","322","-2.121745321","-1.066299921","turtles 43056 43320","-2.1217453213035484","-1.0662999206264037","1.3974275216005443"
"16","105","70","1.30037723","-2.287243157","turtles 43343 43385","1.3003772301334369","-2.2872431568578406","-7.601391186677939"
"17","15","331","-11.80020719","-1.54599848","turtles 43173 43391","-11.800207191475314","-1.5459984803308797","4.74176292685246"
"18","15","25","4.739993546","-3.264828403","turtles 40151 43435","4.739993545833088","-3.2648284027258287","-2.4751749479652694"
"19","15","274","4.931634675","-9.695240794","turtles 42111 43429","4.931634675227191","-9.69524079364143","-8.904700905453538"
"20","15","90","4.826607907","3.336976829","turtles 43335 43461","4.826607906832131","3.336976829363632","3.7022769526340884"
"21","15","196","0.743562632","-7.409791447","turtles 42420 43395","0.7435626320946662","-7.409791446607982","-0.5451748845143599"
"22","15","243","0.451086795","-7.369275155","turtles 42458 43419","0.45108679477811714","-7.369275154961193","7.258478044014445"
"23","105","115","-6.107920001","10.28405891","turtles 41782 43350","-6.107920000926334","10.284058910919976","-8.379078549921037"
"24","15","111","2.751428769","-2.986358473","turtles 42861 43444","2.7514287687498418","-2.9863584729240227","8.623671523408916"
"25","15","108","5.246342311","7.561599962","turtles 42833 43465","5.24634231103934","7.56159996162354","-4.421611773642602"
"26","105","346","2.210445323","2.524510173","turtles 43300 43427","2.210445322712051","2.524510172954837","2.9790482357965473"
"27","15","217","-2.94347857","0.17849787","turtles 42928 43414","-2.9434785696987538","0.17849786980494883","3.2479843353781677"
